Unnamed: 0,Company,Brand,Appliance,SKU,ENERGY_VALUE,ENERGY_UNIT,ENERGY_TIER,BRAND_PRODUCT_COUNT,APPLIANCE_CATEGORY_COUNT,AVG_ENERGY_FOR_APPLIANCE,ENERGY_VS_APPLIANCE_AVG,HAS_ENERGY_DATA,IS_MULTI_SKU_APPLIANCE_LINE
702,"Indesit Company, Whirlpool Corporation",Elco,Dish Washer,SKU-64414,500.0,W,low,46,1223,350.4077253218884,149.5922746781116,True,True
703,Fnac,ProLine,Toaster,SKU-26758,,,,51,1204,355.70175438596493,,False,True
704,Samsung Group,Samsung,Dish Washer,SKU-55462,,,,50,1223,350.4077253218884,,False,True
705,Candy Group,Süsler,Washer,SKU-7531,300.0,W,low,71,1176,347.4403470715835,-47.44034707158352,True,True
706,Meneghetti S.p.A,Fulgor Milano,Stove,SKU-89096,,,,65,1188,359.6288209606987,,False,True
707,Arçelik A.Ş. / Koç Holdin,Beko,Toaster,SKU-5396,,,,72,1204,355.70175438596493,,False,True
708,Whirlpool Corporation,Admiral,Refrigerator,SKU-87214,250.0,W,low,77,1145,353.9111111111111,-103.9111111111111,True,True
709,GlenDimplex,Dimplex,Kettle,SKU-59424,,,,62,1193,349.02286902286903,,False,True
710,GlenDimplex,Valor,Freezer,SKU-89721,,,,64,1228,351.4947368421053,,False,True
711,Arçelik A.Ş. / Koç Holding,Defy,Washer,SKU-48735,,,,74,1176,347.4403470715835,,False,True
712,AB Electrolux / Investor AB,Gibson,Dryer,SKU-35368,,,,58,1183,347.7754677754678,,False,True
713,AB Electrolux / Investor AB,Westinghouse,Kettle,SKU-32097,425.0,W,low,68,1193,349.02286902286903,75.97713097713097,True,True
714,Arçelik A.Ş. / Koç Holding,Flavel,Dryer,SKU-1484,,,,56,1183,347.7754677754678,,False,True
715,GlenDimplex,Stoves,Dryer,SKU-68136,250.0,W,low,60,1183,347.7754677754678,-97.7754677754678,True,True
716,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Toaster,SKU-90634,425.0,W,low,64,1204,355.70175438596493,69.29824561403507,True,True
717,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Kettle,SKU-17005,,,,66,1193,349.02286902286903,,False,True
718,Whirlpool Corporatio,Ariston,Dryer,SKU-55554,475.0,W,low,68,1183,347.7754677754678,127.2245322245322,True,True
719,Miele & Cie. KG,Miele,Toaster,SKU-86040,500.0,W,low,73,1204,355.70175438596493,144.29824561403507,True,True
720,Whirlpool Corporation,Acros,Dryer,SKU-57841,425.0,W,low,74,1183,347.7754677754678,77.2245322245322,True,True
721,AB Electrolux / Investor AB,Zanker,Kettle,SKU-70354,,,,67,1193,349.02286902286903,,False,True
722,Home Retail Group plc / J Sainsbury plc,Bush,Freezer,SKU-98779,,,,63,1228,351.4947368421053,,False,True
723,Candy Group,Otsein Hoover,Freezer,SKU-39143,,,,70,1228,351.4947368421053,,False,True
724,IKEA,IKEA,Refrigerator,SKU-65328,325.0,W,low,79,1145,353.9111111111111,-28.911111111111097,True,True
725,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Freezer,SKU-44388,475.0,W,low,71,1228,351.4947368421053,123.50526315789472,True,True
726,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Refrigerator,SKU-27470,,,,64,1145,353.9111111111111,,False,True
727,Whirlpool Corporation,Whirlpool,Dish Washer,SKU-91772,400.0,W,low,64,1223,350.4077253218884,49.59227467811161,True,True
728,Candy Group,Iberna,Dryer,SKU-22507,,,,72,1183,347.7754677754678,,False,True
729,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Dish Washer,SKU-4470,500.0,W,low,73,1223,350.4077253218884,149.5922746781116,True,True
730,Gorenje,Pelgrim,Freezer,SKU-92064,,,,63,1228,351.4947368421053,,False,True
731,AB Electrolux / Investor AB,Alpeninox,Freezer,SKU-82360,,,,63,1228,351.4947368421053,,False,True
732,GlenDimple,Belling,Dryer,SKU-2847,,,,62,1183,347.7754677754678,,False,True
733,Asko Appliances AB / Gorenje,Asko,Dish Washer,SKU-78903,250.0,W,low,63,1223,350.4077253218884,-100.40772532188839,True,True
734,AB Electrolux / Investor AB,Lehel,Kettle,SKU-3516,120.0,W,low,59,1193,349.02286902286903,-229.02286902286903,True,True
735,Whirlpool Corporation,KitchenAid India,Toaster,SKU-88615,,,,70,1204,355.70175438596493,,False,True
736,Whirlpool Corporation,Polar,Refrigerator,SKU-93050,,,,66,1145,353.9111111111111,,False,True
737,GlenDimplex,Nobo,Toaster,SKU-65091,120.0,W,low,67,1204,355.70175438596493,-235.70175438596493,True,True
738,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Toaster,SKU-85396,325.0,W,low,49,1204,355.70175438596493,-30.701754385964932,True,True
739,AB Electrolux / Investor AB,Kelvinator,Toaster,SKU-47859,500.0,W,low,50,1204,355.70175438596493,144.29824561403507,True,True
740,GlenDimplex,Creda,Washer,SKU-48815,,,,60,1176,347.4403470715835,,False,True
741,Whirlpool Corporation,Kenmore,Dish Washer,SKU-33465,,,,46,1223,350.4077253218884,,False,True
742,Asko Appliances AB / Gorenje,Asko,Washer,SKU-26611,250.0,W,low,63,1176,347.4403470715835,-97.44034707158352,True,True
743,Gorenje,Pelgrim,Kettle,SKU-90950,,,,63,1193,349.02286902286903,,False,True
744,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Stove,SKU-36408,400.0,W,low,61,1188,359.6288209606987,40.371179039301296,True,True
745,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Dryer,SKU-5173,400.0,W,low,63,1183,347.7754677754678,52.2245322245322,True,True
746,Whirlpool Corporation,KitchenAid India,Dryer,SKU-41513,,,,70,1183,347.7754677754678,,False,True
747,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Kettle,SKU-42479,,,,63,1193,349.02286902286903,,False,True
748,"Indesit Company, Whirlpool Corporation",Elco,Dryer,SKU-62752,500.0,W,low,46,1183,347.7754677754678,152.2245322245322,True,True
749,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,SKU-55702,120.0,W,low,63,1193,349.02286902286903,-229.02286902286903,True,True
750,Dayou Group,Daewoo,Toaster,SKU-83273,250.0,W,low,67,1204,355.70175438596493,-105.70175438596493,True,True
751,"Sub-Zero Group, Inc",Wolf,Washer,SKU-49494,250.0,W,low,61,1176,347.4403470715835,-97.44034707158352,True,True
752,GlenDimplex,Dimplex,Dish Washer,SKU-60693,475.0,W,low,62,1223,350.4077253218884,124.59227467811161,True,True
753,Gorenje,Körting,Dryer,SKU-47518,,,,65,1183,347.7754677754678,,False,True
754,Whirlpool Corporation,Brastemp,Freezer,SKU-54525,,,,68,1228,351.4947368421053,,False,True
755,Dayou Winia / Dayou Group,PRAUD,Stove,SKU-28622,,,,65,1188,359.6288209606987,,False,True
756,AB Electrolux / Investor AB,Arthur Martin,Dish Washer,SKU-56775,,,,60,1223,350.4077253218884,,False,True
757,Whirlpool Corporation,Diqua,Kettle,SKU--42045,,,,67,1193,349.02286902286903,,False,True
758,AB Electrolux / Investor AB,Somela,Refrigerator,SKU-17614,,,,65,1145,353.9111111111111,,False,True
759,AB Electrolux / Investor AB,Gibson,Dish Washer,SKU-39176,300.0,W,low,58,1223,350.4077253218884,-50.40772532188839,True,True
760,AB Electrolux / Investor AB,Electrolux ICON,Toaster,SKU-78888,,,,62,1204,355.70175438596493,,False,True
761,AB Electrolux / Investor AB,King,Freezer,SKU-64680,300.0,W,low,56,1228,351.4947368421053,-51.49473684210528,True,True
762,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Freezer,SKU-76221,,,,72,1228,351.4947368421053,,False,True
763,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Kettle,SKU-75294,325.0,W,low,73,1193,349.02286902286903,-24.02286902286903,True,True
764,Currys / Dixons Carphone plc,Logik,Toaster,SKU-86122,,,,71,1204,355.70175438596493,,False,True
765,Whirlpool Corporation,Gladiator GarageWorks,Dryer,SKU-44563,500.0,W,low,68,1183,347.7754677754678,152.2245322245322,True,True
766,Currys / Dixons Carphone plc,Logik,Freezer,SKU-63137,,,,71,1228,351.4947368421053,,False,True
767,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Stove,SKU-12696,,,,64,1188,359.6288209606987,,False,True
768,AB Electrolux / Investor A,Chef,Washer,SKU-12670,120.0,W,low,67,1176,347.4403470715835,-227.44034707158352,True,True
769,AB Electrolux / Investor AB,Castor,Freezer,SKU-24044,475.0,W,low,68,1228,351.4947368421053,123.50526315789472,True,True
770,AB Electrolux / Investor AB,Voss,Toaster,SKU-6111,,,,64,1204,355.70175438596493,,False,True
771,AB Electrolux / Investor AB,Lehel,Freezer,SKU-84755,250.0,W,low,59,1228,351.4947368421053,-101.49473684210528,True,True
772,Candy Group,Candy,Refrigerator,SKU-92056,,,,60,1145,353.9111111111111,,False,True
773,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Dish Washer,SKU-1547,,,,73,1223,350.4077253218884,,False,True
774,Whirlpool Corporation,Polar,Dryer,SKU-3055,425.0,W,low,66,1183,347.7754677754678,77.2245322245322,True,True
775,AB Electrolux / Investor AB,Zanussi,Freezer,SKU-8569,,,,78,1228,351.4947368421053,,False,True
776,AB Electrolux / Investor A,Chef,Stove,SKU-26329,,,,67,1188,359.6288209606987,,False,True
777,"LG Electronics, LG Corporation",LG,Refrigerator,SKU-86025,250.0,W,low,61,1145,353.9111111111111,-103.9111111111111,True,True
778,Candy Group,Vyatka,Dryer,SKU-70657,,,,73,1183,347.7754677754678,,False,True
779,Gorenje,Sidex,Dish Washer,SKU-37698,120.0,W,low,57,1223,350.4077253218884,-230.4077253218884,True,True
780,"LG Electronics, LG Corporation",LG,Kettle,SKU-2901,425.0,W,low,61,1193,349.02286902286903,75.97713097713097,True,True
781,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Freezer,SKU-12825,300.0,W,low,71,1228,351.4947368421053,-51.49473684210528,True,True
782,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Toaster,SKU-29067,500.0,W,low,72,1204,355.70175438596493,144.29824561403507,True,True
783,AB Electrolux / Investor AB,Westinghouse,Toaster,SKU-57645,425.0,W,low,68,1204,355.70175438596493,69.29824561403507,True,True
784,Arçelik A.Ş. / Koç Holding,Dawlance,Kettle,SKU-27477,475.0,W,low,63,1193,349.02286902286903,125.97713097713097,True,True
785,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Dryer,SKU-69290,,,,57,1183,347.7754677754678,,False,True
786,Arçelik A.Ş. / Koç Holding,Dawlance,Dish Washer,SKU-64954,400.0,W,low,63,1223,350.4077253218884,49.59227467811161,True,True
787,Gorenje,Körting,Toaster,SKU-40375,400.0,W,low,65,1204,355.70175438596493,44.29824561403507,True,True
788,AB Electrolux / Investor AB,Zanker,Dish Washer,SKU-20742,,,,67,1223,350.4077253218884,,False,True
789,Fnac,ProLine,Toaster,SKU-16989,,,,51,1204,355.70175438596493,,False,True
790,Arçelik A.Ş. / Koç Holding,Arçelik,Dish Washer,SKU-95778,,,,51,1223,350.4077253218884,,False,True
791,Fnac,ProLine,Kettle,SKU-69129,,,,51,1193,349.02286902286903,,False,True
792,GlenDimplex,Valor,Dish Washer,SKU-88138,250.0,W,low,64,1223,350.4077253218884,-100.40772532188839,True,True
793,Gorenje,Körting,Kettle,SKU-11839,120.0,W,low,65,1193,349.02286902286903,-229.02286902286903,True,True
794,Mondragon Corporation,Mastercook,Refrigerator,SKU-75564,,,,63,1145,353.9111111111111,,False,True
795,Whirlpool Corporation,KitchenAid India,Dish Washer,SKU-20813,,,,70,1223,350.4077253218884,,False,True
796,Mondragon Corporation,Mastercook,Refrigerator,SKU-6561,,,,63,1145,353.9111111111111,,False,True
797,GlenDimplex,Stoves,Refrigerator,SKU-25700,300.0,W,low,60,1145,353.9111111111111,-53.9111111111111,True,True
798,IKEA,IKEA,Washer,SKU-13997,,,,79,1176,347.4403470715835,,False,True
799,"LG Electronics, LG Corporation",LG,Freezer,SKU-19072,325.0,W,low,61,1228,351.4947368421053,-26.494736842105283,True,True
800,Whirlpool Corporation,Roper,Dryer,SKU-41155,,,,72,1183,347.7754677754678,,False,True
801,GlenDimplex,Dimplex,Stove,SKU-66955,325.0,W,low,62,1188,359.6288209606987,-34.628820960698704,True,True
802,Dayou Group,Daewoo,Refrigerator,SKU-51192,500.0,W,low,67,1145,353.9111111111111,146.0888888888889,True,True
803,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Toaster,SKU-4382,475.0,W,low,75,1204,355.70175438596493,119.29824561403507,True,True
804,AB Electrolux / Investor AB,White-Westinghouse,Toaster,SKU-4782,475.0,W,low,65,1204,355.70175438596493,119.29824561403507,True,True
805,Arçelik A.Ş. / Koç Holdin,Beko,Dryer,SKU-55035,500.0,W,low,72,1183,347.7754677754678,152.2245322245322,True,True
806,AB Electrolux / Investor AB,Zanussi,Washer,SKU-65586,425.0,W,low,78,1176,347.4403470715835,77.55965292841648,True,True
807,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Toaster,SKU-65221,,,,49,1204,355.70175438596493,,False,True
808,Arçelik A.Ş. / Koç Holding,Altus,Washer,SKU-85928,425.0,W,low,56,1176,347.4403470715835,77.55965292841648,True,True
809,AB Electrolux / Investor AB,Arthur Martin,Stove,SKU-66245,300.0,W,low,60,1188,359.6288209606987,-59.628820960698704,True,True
810,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Washer,SKU-56692,400.0,W,low,66,1176,347.4403470715835,52.55965292841648,True,True
811,Gorenje,Mora,Dryer,SKU-14601,,,,71,1183,347.7754677754678,,False,True
812,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Stove,SKU-46446,,,,63,1188,359.6288209606987,,False,True
813,Mondragon Corporation,Fagor,Kettle,SKU-42929,,,,87,1193,349.02286902286903,,False,True
814,GlenDimplex,Technika,Freezer,SKU-91615,,,,60,1228,351.4947368421053,,False,True
815,Miele & Cie. KG,Miele,Dryer,SKU-8416,400.0,W,low,73,1183,347.7754677754678,52.2245322245322,True,True
816,Candy Group,Hoover,Stove,SKU-66287,,,,62,1188,359.6288209606987,,False,True
817,AB Electrolux / Investor AB,Dishlex,Kettle,SKU-63871,475.0,W,low,68,1193,349.02286902286903,125.97713097713097,True,True
818,Arçelik A.Ş. / Koç Holding,Arçelik,Stove,SKU-22148,475.0,W,low,51,1188,359.6288209606987,115.3711790393013,True,True
819,Samsung Group,Samsung,Freezer,SKU-31878,250.0,W,low,50,1228,351.4947368421053,-101.49473684210528,True,True
820,Miele & Cie. KG,Miele,Washer,SKU-30944,,,,73,1176,347.4403470715835,,False,True
821,IKEA,IKEA,Dryer,SKU-30349,,,,79,1183,347.7754677754678,,False,True
822,"Indesit Company, Whirlpool Corporation",Termogamma,Kettle,SKU-77795,300.0,W,low,56,1193,349.02286902286903,-49.02286902286903,True,True
823,Candy Group,Rosières,Dish Washer,SKU-61863,300.0,W,low,68,1223,350.4077253218884,-50.40772532188839,True,True
824,AB Electrolux / Investor AB,Corberó,Refrigerator,SKU-90895,,,,58,1145,353.9111111111111,,False,True
825,Whirlpool Corporation,Acros,Kettle,SKU-17204,,,,74,1193,349.02286902286903,,False,True
826,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Washer,SKU-38783,,,,71,1176,347.4403470715835,,False,True
827,Gorenje,Gorenje,Freezer,SKU-39096,300.0,W,low,59,1228,351.4947368421053,-51.49473684210528,True,True
828,Montpellier Domestic Appliances Ltd,Montpellier,Freezer,SKU-98481,250.0,W,low,68,1228,351.4947368421053,-101.49473684210528,True,True
829,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Toaster,SKU-3739,300.0,W,low,71,1204,355.70175438596493,-55.70175438596493,True,True
830,Candy Group,Otsein Hoover,Stove,SKU-52488,,,,70,1188,359.6288209606987,,False,True
831,Whirlpool Corporation,Diqua,Stove,SKU-21256,,,,67,1188,359.6288209606987,,False,True
832,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Stove,SKU67109,300.0,W,low,64,1188,359.6288209606987,-59.628820960698704,True,True
833,Whirlpool Corporation,Acros,Freezer,SKU-64093,,,,74,1228,351.4947368421053,,False,True
834,IKEA,IKEA,Stove,SKU-72789,425.0,W,low,79,1188,359.6288209606987,65.3711790393013,True,True
835,AB Electrolux / Investor AB,REX-Electrolux,Stove,SKU-76657,,,,75,1188,359.6288209606987,,False,True
836,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Dish Washer,SKU-99416,,,,64,1223,350.4077253218884,,False,True
837,GlenDimple,Belling,Kettle,SKU-87733,325.0,W,low,62,1193,349.02286902286903,-24.02286902286903,True,True
838,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Freezer,SKU-18978,,,,75,1228,351.4947368421053,,False,True
839,Candy Group,Süsler,Stove,SKU-52601,120.0,W,low,71,1188,359.6288209606987,-239.6288209606987,True,True
840,AB Electrolux / Investor AB,Tricity Bendix,Dish Washer,SKU-95773,,,,70,1223,350.4077253218884,,False,True
841,Candy Group,Baumatic,Washer,SKU-69838,,,,69,1176,347.4403470715835,,False,True
842,Arçelik A.Ş. / Koç Holdin,Arstil,Refrigerator,SKU-21991,475.0,W,low,50,1145,353.9111111111111,121.0888888888889,True,True
843,AB Electrolux / Investor AB,Zanker,Stove,SKU-75016,500.0,W,low,67,1188,359.6288209606987,140.3711790393013,True,True
844,The Meyer Corporatio,Hestan,Toaster,SKU-99776,425.0,W,low,64,1204,355.70175438596493,69.29824561403507,True,True
845,Gorenje,Mora,Dryer,SKU-80893,,,,71,1183,347.7754677754678,,False,True
846,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Washer,SKU-5119,,,,66,1176,347.4403470715835,,False,True
847,Whirlpool Corporation,KitchenAid,Kettle,73836,,,,79,1193,349.02286902286903,,False,True
848,Gorenje,Körting,Freezer,SKU-53496,,,,65,1228,351.4947368421053,,False,True
849,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Toaster,SKU-80097,120.0,W,low,75,1204,355.70175438596493,-235.70175438596493,True,True
850,Whirlpool Corporatio,Ariston,Dish Washer,SKU-65178,,,,68,1223,350.4077253218884,,False,True
851,Candy Group,Rosières,Washer,SKU-20713,500.0,W,low,68,1176,347.4403470715835,152.55965292841648,True,True
852,AB Electrolux / Investor AB,Tricity Bendix,Dryer,SKU-82845,,,,70,1183,347.7754677754678,,False,True
853,GlenDimplex,Technika,Dish Washer,SKU-9307,,,,60,1223,350.4077253218884,,False,True
854,AB Electrolux / Investor AB,Somela,Stove,SKU-82323,425.0,W,low,65,1188,359.6288209606987,65.3711790393013,True,True
855,Fhiaba S.r.l,Fhibia,Toaster,SKU-67209,400.0,W,low,70,1204,355.70175438596493,44.29824561403507,True,True
856,AB Electrolux / Investor AB,Olympic Group,Refrigerator,SKU-48243,500.0,W,low,58,1145,353.9111111111111,146.0888888888889,True,True
857,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Toaster,SKU-67483,250.0,W,low,52,1204,355.70175438596493,-105.70175438596493,True,True
858,AB Electrolux / Investor AB,Alpeninox,Freezer,SKU-5087,,,,63,1228,351.4947368421053,,False,True
859,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Freezer,SKU-62619,500.0,W,low,63,1228,351.4947368421053,148.50526315789472,True,True
860,GlenDimplex,Cadet,Toaster,SKU-12747,,,,57,1204,355.70175438596493,,False,True
861,Viking Range Corporation / The Middleby Corporation,Viking,Dish Washer,SKU-84739,,,,57,1223,350.4077253218884,,False,True
862,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dish Washer,SKU-69712,500.0,W,low,63,1223,350.4077253218884,149.5922746781116,True,True
863,Dayou Group,Daewoo,Washer,SKU-84471,,,,67,1176,347.4403470715835,,False,True
864,AB Electrolux / Investor AB,Dishlex,Stove,SKU-12421,,,,68,1188,359.6288209606987,,False,True
865,Whirlpool Corporation,Maytag,Washer,SKU-33400,400.0,W,low,65,1176,347.4403470715835,52.55965292841648,True,True
866,The Middleby Corporation,La Cornue,Freezer,SKU-86229,,,,65,1228,351.4947368421053,,False,True
867,Mondragon Corporation,Fagor,Freezer,SKU25466,,,,87,1228,351.4947368421053,,False,True
868,AB Electrolux / Investor AB,Simpson,Kettle,SKU-43001,120.0,W,low,52,1193,349.02286902286903,-229.02286902286903,True,True
869,Amica Wronki S.A,Amica,Kettle,SKU-87501,475.0,W,low,66,1193,349.02286902286903,125.97713097713097,True,True
870,GlenDimplex,Britannia,Dish Washer,SKU-55639,,,,64,1223,350.4077253218884,,False,True
871,The Middleby Corporation,La Cornue,Freezer,SKU-58295,120.0,W,low,65,1228,351.4947368421053,-231.49473684210528,True,True
872,AB Electrolux / Investor AB,Lehel,Toaster,SKU-66753,,,,59,1204,355.70175438596493,,False,True
873,"Sub-Zero Group, Inc",Sub-Zero,Refrigerator,SKU-19399,425.0,W,low,54,1145,353.9111111111111,71.0888888888889,True,True
874,AB Electrolux / Investor AB,Electrolux,Refrigerator,SKU-19118,,,,74,1145,353.9111111111111,,False,True
875,De’Longhi S.p.A,DeLonghi,Kettle,SKU-60268,500.0,W,low,62,1193,349.02286902286903,150.97713097713097,True,True
876,Arçelik A.Ş. / Koç Holding,Dawlance,Kettle,SKU-86284,,,,63,1193,349.02286902286903,,False,True
877,AB Electrolux / Investor AB,Alpeninox,Dish Washer,SKU-42492,250.0,W,low,63,1223,350.4077253218884,-100.40772532188839,True,True
878,Gorenje,Mora,Toaster,SKU-49380,,,,71,1204,355.70175438596493,,False,True
879,Candy Group,Vyatka,Freezer,SKU-92068,,,,73,1228,351.4947368421053,,False,True
880,The Middleby Corporation,La Cornue,Stove,SKU-30320,,,,65,1188,359.6288209606987,,False,True
881,GlenDimplex,Britannia,Toaster,SKU-85555,250.0,W,low,64,1204,355.70175438596493,-105.70175438596493,True,True
882,AB Electrolux / Investor AB,Somela,Freezer,SKU-83338,,,,65,1228,351.4947368421053,,False,True
883,Mondragon Corporation,Mastercook,Freezer,SKU-43988,,,,63,1228,351.4947368421053,,False,True
884,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Dryer,SKU-96560,,,,56,1183,347.7754677754678,,False,True
885,Meneghetti S.p.A,Fulgor Milano,Dish Washer,SKU-48663,,,,65,1223,350.4077253218884,,False,True
886,AB Electrolux / Investor AB,Philco,Dryer,SKU-3349,,,,67,1183,347.7754677754678,,False,True
887,AB Electrolux / Investor AB,Castor,Refrigerator,SKU-6432,300.0,W,low,68,1145,353.9111111111111,-53.9111111111111,True,True
888,"Sub-Zero Group, Inc",Wolf,Dish Washer,SKU-20129,,,,61,1223,350.4077253218884,,False,True
889,Gorenj,Atag,Kettle,SKU-10066,,,,60,1193,349.02286902286903,,False,True
890,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Washer,SKU-80121,425.0,W,low,80,1176,347.4403470715835,77.55965292841648,True,True
891,Arçelik A.Ş. / Koç Holdin,Arstil,Refrigerator,SKU-75036,,,,50,1145,353.9111111111111,,False,True
892,Gorenje,Gorenje,Freezer,SKU-99567,,,,59,1228,351.4947368421053,,False,True
893,Viking Range Corporation / The Middleby Corporation,Viking,Kettle,SKU-52278,,,,57,1193,349.02286902286903,,False,True
894,Mondragon Corporation,De Dietrich,Dish Washer,SKU--50169,,,,67,1223,350.4077253218884,,False,True
895,Whirlpool Corporation,Amana,Refrigerator,SKU-88903,325.0,W,low,56,1145,353.9111111111111,-28.911111111111097,True,True
896,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Toaster,SKU-45038,475.0,W,low,64,1204,355.70175438596493,119.29824561403507,True,True
897,"Indesit Company, Whirlpool Corporation",Scholtès,Dish Washer,SKU-19703,,,,49,1223,350.4077253218884,,False,True
898,Whirlpool Corporation,Kenmore,Toaster,SKU-79859,,,,46,1204,355.70175438596493,,False,True
899,AB Electrolux / Investor AB,Lehel,Kettle,SKU-2337,250.0,W,low,59,1193,349.02286902286903,-99.02286902286903,True,True
900,Whirlpool Corporation,Maytag,Refrigerator,SKU-9793,,,,65,1145,353.9111111111111,,False,True
901,Candy Group,Zerowatt,Stove,SKU-25703,400.0,W,low,58,1188,359.6288209606987,40.371179039301296,True,True
902,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Freezer,SKU-21073,,,,80,1228,351.4947368421053,,False,True
903,GlenDimplex,Valor,Kettle,SKU-61620,500.0,W,low,64,1193,349.02286902286903,150.97713097713097,True,True
904,Candy Group,Otsein Hoover,Refrigerator,SKU-86979,,,,70,1145,353.9111111111111,,False,True
905,AB Electrolux / Investor AB,Electrolux ICON,Refrigerator,SKU-42913,475.0,W,low,62,1145,353.9111111111111,121.0888888888889,True,True
906,AB Electrolux / Investor AB,Philco,Kettle,SKU-62746,,,,67,1193,349.02286902286903,,False,True
907,Gorenje,Mora,Washer,SKU-80928,,,,71,1176,347.4403470715835,,False,True
908,Arçelik A.Ş. / Koç Holdin,Beko,Washer,SKU-22244,250.0,W,low,72,1176,347.4403470715835,-97.44034707158352,True,True
909,AB Electrolux / Investor AB,Alpeninox,Kettle,SKU-42464,,,,63,1193,349.02286902286903,,False,True
910,Candy Group,Vyatka,Stove,SKU-35555,,,,73,1188,359.6288209606987,,False,True
911,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Dryer,SKU-98026,425.0,W,low,64,1183,347.7754677754678,77.2245322245322,True,True
912,AB Electrolux / Investor AB,Castor,Refrigerator,SKU-65897,,,,68,1145,353.9111111111111,,False,True
913,GlenDimplex,Valor,Stove,SKU-86117,,,,64,1188,359.6288209606987,,False,True
914,Smeg Group S.p.A,Bertazzoni,Freezer,SKU-82872,325.0,W,low,57,1228,351.4947368421053,-26.494736842105283,True,True
915,Arçelik A.Ş. / Koç Holdin,Beko,Washer,SKU-72798,,,,72,1176,347.4403470715835,,False,True
916,AB Electrolux / Investor AB,Mademsa,Refrigerator,SKU-66561,,,,67,1145,353.9111111111111,,False,True
917,Fhiaba S.r.l,Fhibia,Refrigerator,SKU-27484,,,,70,1145,353.9111111111111,,False,True
918,The Meyer Corporatio,Hestan,Kettle,SKU-92645,,,,64,1193,349.02286902286903,,False,True
919,"Hotpoint, Whirlpool Corporation",Hotpoint,Kettle,SKU-65686,,,,53,1193,349.02286902286903,,False,True
921,"Indesit Company, Whirlpool Corporation",Termogamma,Kettle,SKU-36744,425.0,W,low,56,1193,349.02286902286903,75.97713097713097,True,True
922,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Stove,SKU-78978,500.0,W,low,72,1188,359.6288209606987,140.3711790393013,True,True
923,AB Electrolux / Investor AB,Alpeninox,Freezer,SKU-56942,,,,63,1228,351.4947368421053,,False,True
924,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Toaster,SKU-3974,,,,63,1204,355.70175438596493,,False,True
925,Gorenje,Mora,Washer,SKU-99405,,,,71,1176,347.4403470715835,,False,True
926,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dryer,SKU-87261,,,,63,1183,347.7754677754678,,False,True
927,Smeg Group S.p.A,Smeg,Dryer,SKU-56995,475.0,W,low,66,1183,347.7754677754678,127.2245322245322,True,True
928,AB Electrolux / Investor AB,Dometic,Refrigerator,SKU-51530,425.0,W,low,59,1145,353.9111111111111,71.0888888888889,True,True
929,"Indesit Company, Whirlpool Corporation",Elco,Stove,SKU-17269,425.0,W,low,46,1188,359.6288209606987,65.3711790393013,True,True
